,Cate,Cols,Id,Len,Name,Time
718,Transportation,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'medallion_number', 'schedule_date', 'schedule_time', 'fleet_agent_code', 'last_updated_date', 'last_updated_time']",k2tc-bipg,27449.0,medallion taxi initial inspection schedule,1487776467.0
719,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'borough', 'calendar year', 'violation type', 'filed violation count']",k2ye-5mmh,180.0,dop adult violations of probation filed by calendar year,1396887728.0
720,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'election', 'officecd', 'candid', 'canclass', 'candlast', 'candfirst', 'candmi', 'committee', 'filing', 'schedule', 'pageno', 'sequenceno', 'refno', 'inv_date', 'date', 'name', 'c_code', 'org_ind', 'number', 'streetname', 'unit', 'pay_method', 'amnt', 'purposecd', 'purpose', 'explain', 'exemptcd', 'rr_ind', 'seg_ind', 'location 1', 'borough/city', 'state', 'postcode', 'latitude', 'longitude', 'community board', 'council district', 'census tract', 'bin', 'bbl', 'nta']",k3cd-yu9d,68305.0,2001 campaign expenditures,1315950581.0
721,Environment,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'source', 'sector', 'sub-sector', 'units', '  cy 2005 - consumed ', '  cy 2005  - tco2e ', ' cy 2005 - source mmbtu ', '  cy 2015 - consumed ', '  cy 2015  - tco2e ', ' cy 2015 - source mmbtu ', '  cy 2016 - consumed ', '  cy 2016  - tco2e ', ' cy 2016 - source mmbtu ', 'change from 2015 - consumed', 'change from 2015 - tco2e', 'change from 2015 - source mmbtu', 'change from 2005 - consumed', 'change from 2005 - tco2e', 'change from 2005 - source mmbtu']",k3e2-emsq,37.0,inventory of new york city greenhouse gas emissions - citywide ghg emissions summary (2016),1511541919.0
722,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'program type', 'program', 'site name', 'borough / community', 'agency', 'contact number', 'grade level / age group ', 'location 1', 'borough', 'postcode', 'latitude', 'longitude', 'community board', 'council district', 'census tract', 'bin', 'bbl', 'nta']",k3qa-jvkc,17.0,dycd after-school programs: nda family literacy,1314990778.0
723,Social Services,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'date of census', 'total adults in shelter', 'total children in shelter', 'total individuals in shelter', 'single adult men in shelter', 'single adult women in shelter', 'total single adults in shelter', 'families with children in shelter', 'adults in families with children in shelter', 'children in families with children in shelter', 'total individuals in families with children in shelter ', 'adult families in shelter', 'individuals in adult families in shelter']",k46n-sa2m,1657.0,dhs daily report,1377199230.0
724,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'bronx', '2005', '2006', '2007', '2008', '2009', 'total']",k4u8-p5ux,14.0,where incidents that led to a substantiated complaint took place - bronx 2005 - 2009,1317329770.0
725,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'borough', 'grade', 'year', 'category', 'number tested', 'mean scale score', 'level1_n', 'level1_%', 'level2_n', 'level2_%', 'level3_n', 'level3_%', 'level4_n', 'level4_%', 'level3+4_n', 'level3+4_%']",k4xi-fxp5,350.0,2013-2017 borough math results - swd,1506349156.0
726,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'incident_id', 'incident_dt', 'facility']",k548-32d3,11676.0,inmate incidents - inmate fights,1458757697.0
727,Environment,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'kit id', 'borough', 'zipcode', 'date collected', 'date received', 'lead first_draw (mg/l)', 'lead 1-2 minute flush (mg/l)', 'lead 5 minute flush (mg/l)', 'copper first draw (mg/l)', 'copper 1-2 minute flush (mg/l)', 'copper 5 minute flush (mg/l)']",k5us-nav4,10872.0,free residential at-the-tap lead and copper data,1519401275.0
728,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'borough', 'grade', 'year', 'demographic', 'number tested', 'mean scale score', 'num level 1', 'pct level 1', 'num level 2', 'pct level 2', 'num level 3', 'pct level 3', 'num level 4', 'pct level 4', 'num level 3 and 4', 'pct level 3 and 4']",k5ws-xbkn,245.0,2006 - 2012 english language arts (ela) test results - borough - all students,1361397686.0
729,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'location name', 'dbn', 'staff  completing training']",k5xr-vi4c,577.0,2015-16 guidance counselor reporting - post secondary planning,1502472459.0
730,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'school name', 'cohort year', 'category', 'ethnicity', 'total cohort #', 'total grads #', 'total grads % of cohort', ' total regents #', ' total regents % of cohort', ' total regents % of grads', ' advanced regents #', ' advanced regents % of cohort', ' advanced regents % of grads', 'regents w/o advanced #', 'regents w/o advanced % of cohort', 'regents w/o advanced % of grads', 'local #', 'local % of cohort', 'local % of grads', 'still enrolled #', 'still enrolled % of cohort', 'dropped out #', 'dropped out % of cohort']",k63t-h76x,57971.0,2014-15 graduation outcomes - ethnicity,1502473805.0
731,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'borough', 'calendar year', 'charge type', 'investigation count']",k659-gwja,120.0,dop adult investigations by calendar year,1393435851.0
732,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'region', 'supervision closing type', 'month', 'year', 'supervision closing count']",k72f-2ytm,128.0,dop adult case closings by type,1479743283.0
733,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', '2017 organization', 'project address', 'project title', 'council district', 'community board', '2017 award', 'postcode', 'borough', 'latitude', 'longitude', 'census tract', 'bin', 'bbl', 'nta']",k84j-firu,186.0,capital grant awards 2017,1514412837.0
734,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'demographic', 'dbn', 'name', 'total cohort  - june', 'total math/ela apm - june', '% of cohort - june', 'total cohort  - august', 'total math/ela apm - august', '% of cohort - august']",k8hv-56d7,4103.0,2009 - 2010 graduation outcomes - regents-based math- ela apm - school level,1318975003.0
735,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'cultural institutions group (cig)', 'fiscal year (fy)', 'operating support', 'energy support']",ka27-qx5k,136.0,dcla cultural institutions group funding,1471542545.0
736,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'traffic control division', '2005', '2006', '2007', '2008', '2009', 'total']",ka3k-93z7,23.0,ccrb: assignment of officers against whom allegations were substantiated - traffic control division 2005 - 2009,1315947034.0
737,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'type of abuse of authority allegation', 'substantiated number', 'sunstantiated rate', 'exonerated number', 'exonerated rate', 'unsubstantiated number', 'unsubstantiated rate', 'unfounded number', 'unfounded rate', 'officer unidentified number', 'officer unidentified rate', 'miscellaneous', 'miscellaneous rate']",kcgr-4dqx,30.0,disposition of abuse of authority allegations 2009,1317246163.0
738,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'school name', 'grade', 'year', 'category', 'number tested', 'mean scale score', 'level1_n', 'level1_%', 'level2_n', 'level2_%', 'level3_n', 'level3_%', 'level4_n', 'level4_%', 'level3+4_n', 'level3+4_%']",kdm9-vp7d,23988.0,2013-2017 school ela results - all,1506355012.0
739,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'grade', 'year', 'category', 'number tested', 'mean scale score', 'level1_n', 'level1_%', 'level2_n', 'level2_%', 'level3_n', 'level3_%', 'level4_n', 'level4_%', 'level3+4_n', 'level3+4_%']",kdpk-qekk,70.0,2013-2017 citywide ela results - gender,1506350521.0
740,Environment,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'kit id', 'borough', 'zipcode', 'date collected', 'date recieved', 'lead first draw (mg/l)', 'lead 1-2 minute flush (mg/l)', 'lead 5 minute flush (mg/l)', 'copper first draw (mg/l)', 'copper 1-2 minute flush (mg/l)', 'copper 5 minute flush (mg/l)']",kdqv-qs7p,9415.0,lead at the tap results,1424373728.0
741,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'press release date', 'press release title', 'link to pdf file']",kewa-q4dq,108.0,law press releases,1360353504.0
742,Business,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'location', 'event_date', 'check_in_from', 'check_in_to', 'event_title', 'job_family', 'company_name_or_type', 'qualifications', 'borough', 'location_name_and_address']",kf2b-aeh5,11873.0,workforce1 recruitment events,1435614574.0
743,Business,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'company name', 'subindustry', 'sub subindustry', 'address', 'phone', 'website', 'borough', 'postcode', 'latitude', 'longitude', 'community board', 'community council ', 'census tract', 'bin', 'bbl', 'nta', 'location 1']",kh2m-kcyz,331.0,times square food & beverage locations,1311952109.0
744,Recreation,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'name', 'address', 'city', 'postcode', 'phone', 'mn', 'tu', 'we', 'th', 'fr', 'sa', 'su', 'notification', 'location 1', 'borough', 'latitude', 'longitude', 'community board', 'council district ', 'census tract', 'bin', 'bbl', 'nta']",kh3d-xhq7,68.0,queens library branches,1318107591.0
745,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'school name', 'grade', 'year', 'category', 'number tested', 'mean scale score', 'level1_n', 'level1_%', 'level2_n', 'level2_%', 'level3_n', 'level3_%', 'level4_n', 'level4_%', 'level3+4_n', 'level3+4_%']",kha6-7i9i,23896.0,2013-2017 school math results - all,1506355071.0
746,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'school name', 'cohort year', 'cohort category', 'demographic', 'total cohort num', 'total grads num', 'total grads pct of cohort', 'total regents num', 'total regents pct of cohort', 'total regents pct of grads', 'advanced regents num', 'advanced regents pct of cohort', 'advanced regents pct of grads', 'regents w/o advanced num', 'regents w/o advanced pct of cohort', 'regents w/o advanced pct of grads', 'local num', 'local pct of cohort', 'local pct of grads', 'still enrolled num', 'still enrolled pct of cohort', 'dropped out num', 'dropped out pct of cohort']",khqi-x3p3,15518.0,2005 - 2011 graduation outcomes - school level - - gender,1361414191.0
747,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'school name', 'category ', 'year', 'total enrollment', '#grade 9', '#grade 10', '#grade 11', '#grade 12', '#female', '%female', '#male', '%male', '#asian', '%asian', '#black', '%black', '#hispanic', '%hispanic', '#other', '% other', '#white', '% white', '#ell spanish', '%ell spanish', '#ell chinese', '% ell chinese', '#ell bengali', '% ell bengali', '#ell arabic', '%ell arabic', '#ell haitian creole', '%ell hatian creole', '#ell french', '%ell french', '#ell russian', '%ell russian', '#ell korean', '%ell korean', '#ell urdu', '%ell urdu', '#ell other', '%ell other', 'ela #test takers', 'ela #level 1', 'ela %level 1', 'ela #level 2', 'ela %level 2', 'ela #level 3', 'ela %level 3', 'ela #level 4', 'ela %level 4', 'ela #l3+l4', 'ela %l3+l4', 'math #test takers', 'math #level 1', 'math %level 1', 'math #level 2', 'math %level 2', 'math #level 3', 'math %level 3', 'math #level 4', 'math %level 4', 'math #l3+l4', 'math %l3 + l4']",kivi-tmb3,2925.0,2015-2016 demographic data - grades 9-12 school,1502393252.0
748,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'loccode', 'prek_type', 'borough', 'locname', 'note', 'phone', 'address', 'postcode', 'day_length', 'seats', 'x', 'y', 'email', 'website', 'meals', 'indoor_outdoor', 'extended_day', 'sems_code', 'latitude', 'longitude', 'community board', 'council district ', 'census tract', 'bin', 'bbl', 'nta']",kiyv-ks3f,1885.0,universal pre-k (upk) school locations,1405029995.0
749,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'borough', 'grade', 'year', 'category', 'number tested', 'mean scale score', 'level1_n', 'level1_%', 'level2_n', 'level2_%', 'level3_n', 'level3_%', 'level4_n', 'level4_%', 'level3+4_n', 'level3+4_%']",kjey-zuvr,700.0,2013-2017 borough ela results - ethnic,1506347250.0
750,Transportation,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'school_year', 'opt_code', 'site_name', 'school_name', 'number_of_riders']",kjgh-ywbx,960.0,prek riders by transportation site,1452553194.0
751,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'location name', 'location category', 'administrative district', '5 removals', '5 principal', '5 superintendent', '5 expulsions', '6 removals', '6 principal', '6 superintendent', '6 expulsions', '7 removals', '7 principal', '7 superintendent', '7 expulsions', '8 removals', '8 principal', '8 superintendent', '8 expulsions', '9 removals', '9 principal', '9 superintendent', '9 expulsions', '10 removals', '10 principal', '10 superintendent', '10 expulsions', '11 removals', '11 principal', '11 superintendent', '11 expulsions', '12 removals', '12 principal', '12 superintendent', '12 expulsions', '13 removals', '13 principal', '13 superintendent', '13 expulsions', '14 removals', '14 principal', '14 superintendent', '14 expulsions', '15 removals', '15 principal', '15 superintendent', '15 expulsions', '16 removals', '16 principal', '16 superintendent', '16 expulsions', '17 removals', '17 principal', '17 superintendent', '17 expulsions', '18 removals', '18 principal', '18 superintendent', '18 expulsions', '19 removals', '19 principal', '19 superintendent', '19 expulsions', '20 removals', '20 principal', '20 superintendent', '20 expulsions', '21 removals', '21 principal', '21 superintendent', '21 expulsions', '22 removals', '22 principal', '22 superintendent', '22 expulsions']",kjpz-79mu,1743.0,2015-16 student discipline annual report - age,1501699411.0
752,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'created month', 'borough', 'community board', 'agency', 'complaint type', 'descriptor 1', '# of srs']",kjxa-7ccf,251.0,scout conditions,1394121896.0
753,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'agency', 'dataset title', 'dataset description', 'dataset link', 'expected date when synchronized update schedule will be met']",kk22-kcb6,11.0,2017 nyc open data plan -  timely updates,1499968305.0
754,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'jurisdiction name', 'count participants', 'count female', 'percent female', 'count male', 'percent male', 'count gender unknown', 'percent gender unknown', 'count gender total', 'percent gender total', 'count pacific islander', 'percent pacific islander', 'count hispanic latino', 'percent hispanic latino', 'count american indian', 'percent american indian', 'count asian non hispanic', 'percent asian non hispanic', 'count white non hispanic', 'percent white non hispanic', 'count black non hispanic', 'percent black non hispanic', 'count other ethnicity', 'percent other ethnicity', 'count ethnicity unknown', 'percent ethnicity unknown', 'count ethnicity total', 'percent ethnicity total', 'count permanent resident alien', 'percent permanent resident alien', 'count us citizen', 'percent us citizen', 'count other citizen status', 'percent other citizen status', 'count citizen status unknown', 'percent citizen status unknown', 'count citizen status total', 'percent citizen status total', 'count receives public assistance', 'percent receives public assistance', 'count nreceives public assistance', 'percent nreceives public assistance', 'count public assistance unknown', 'percent public assistance unknown', 'count public assistance total', 'percent public assistance total']",kku6-nxdu,236.0,demographic statistics by zip code,1311775554.0
755,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'region', 'investigations ordered type', 'month', 'year', 'investigations ordered count']",kkwv-djnk,32.0,dop adult investigations ordered,1479743290.0
756,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'school name', 'grade', 'year', 'category', 'number tested', 'mean scale score', 'level 1: #', 'level 1: %', 'level 2: #', 'level 2: %', 'level 3: #', 'level 3: %', 'level 4: #', 'level 4: %', 'level 3+4: #', 'level 3+4: %']",kmix-7hhj,19133.0,2013-16 school ela data files by grade - all students,1502304202.0
757,Social Services,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'company_name', 'installation_id', 'ppt_id', 'link_site_id', 'active_indic', 'curbside', 'number_of_phones', 'borough', 'community board', 'council district', 'building_number', 'street_name', 'side_of_street', 'tax_block', 'tax_lot', 'zoning', 'enclosure_model', 'enclosure_type', 'advertising', 'wi_fi', 'cluster_position', 'mounting', 'solar', 'link_smoke_tested_and_activate', 'project_status', 'nta', 'bin', 'bbl', 'census tract', 'postcode', 'latitude', 'longitude', 'x_coordinate', 'y_coordinate', 'location 1']",kn9i-9q8m,7759.0,public pay telephone locations map,1518725164.0
758,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'job id', 'agency', 'posting type', '# of positions', 'business title', 'civil service title', 'title code no', 'level', 'job category', 'full-time/part-time indicator', 'salary range from', 'salary range to', 'salary frequency', 'work location', 'division/work unit', 'job description', 'minimum qual requirements', 'preferred skills', 'additional information', 'to apply', 'hours/shift', 'work location 1', 'recruitment contact', 'residency requirement', 'posting date', 'post until', 'posting updated', 'process date']",kpav-sd4t,3355.0,nyc jobs,1366306816.0
759,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'initial contact', 'language (if blank, english)', 'issue', 'date', 'city/state', 'zip', 'cb', 'council member', 'letter drafted', 'status']",kpjg-ubxi,565.0,constituent services - historical,1413927377.0
760,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'manhattan south', '2005', '2006', '2007', '2008', '2009', 'total']",kq8c-w9ag,16.0,ccrb: assignment of officers against whom allegations were substantiated - patrol borough manhattan south 2005 - 2009,1315945125.0
761,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'school name', 'admissions methods']",kquf-ewd9,1571.0,2015-2016 demographic data - admissions methods,1502383050.0
762,Housing & Development,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'vendor status', 'vendor name', 'disqualified from date', 'disqualified to date']",krwf-eng6,250.0,sca disqualified firms,1366298343.0
763,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'created', 'bic_number', 'account name', 'trade name', 'address', 'city', 'state', 'postcode', 'phone', 'application type', 'export date', 'latitude', 'longitude', 'community board', 'council district', 'census tract', 'bin', 'bbl', 'nta', 'boro']",krx7-u82t,19741.0,trade waste broker registrants,1490724606.0
764,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'borough', 'grade', 'year', 'category', 'number tested', 'mean scale score', 'level1_n', 'level1_%', 'level2_n', 'level2_%', 'level3_n', 'level3_%', 'level4_n', 'level4_%', 'level3+4_n', 'level3+4_%']",kt29-ab5k,415.0,2013-2017 borough math results - evell,1506348825.0
765,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'election', 'officecd', 'candid', 'canclass', 'candlast', 'candfirst', 'candmi', 'committee', 'filing', 'schedule', 'pageno', 'sequenceno', 'refno', 'inv_date', 'date', 'name', 'c_code', 'org_ind', 'strno', 'strname', 'apartment', 'city', 'state', 'postcode', 'pay_method', 'amnt', 'purposecd', 'purpose', 'explain', 'exemptcd', 'rr_ind', 'seg_ind']",kwmq-dbub,75431.0,2013 campaign expenditures,1315955899.0
766,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'existing site identified', 'proposed leased facility', 'district', 'project #', 'school', 'boro', 'forecast capacity', 'design start', 'constr start', 'actual /est. compl', 'total est. cost', 'previousappropriations', ""fundingreq'dfy 15-19"", 'needed tocomplete']",kydh-ijhc,9.0,replacement projects by school,1464731320.0
767,Transportation,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'complaintid', 'srnumber', 'complainttype', 'boro', 'block', 'lot', 'number', 'street', 'city', 'state', 'postcode', 'unit', 'initialinspectiondate', 'initialinspectionresults', 'ordermailingdate', 'postinginspectiondate', 'followupinspectiondate', 'daysbetween', 'closeddate', 'reinspectiondate', 'reinspectionresult', 'novnumber', 'novcode', 'novdate', 'novdescription', 'latitude', 'longitude', 'community board', 'council district', 'census tract', 'bin', 'bbl', 'nta']",kyvb-rbwd,69790.0,encroachments and defacements,1519225310.0
768,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'fiscal year ', 'source ', 'council member ', 'legal name ', 'ein ', 'status ', 'amount ', 'agency ', 'program name ', 'street address 1 ', 'street address 2 ', 'postcode', 'purpose of funds ', 'fiscal conduit name ', 'fc ein ', 'location 1 ', 'borough', 'latitude', 'longitude', 'community board', 'community council ', 'census tract', 'bin', 'bbl', 'nta']",m3fi-rt3k,17496.0,new york city council discretionary funding (2009-2013),1344022559.0
769,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'name', '\xa0meeting\xa0date', 'meeting\xa0time', 'meeting\xa0location', 'meeting\xa0topic']",m48u-yjt8,83.0,council committees and meetings,1424195042.0
770,Housing & Development,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'manhattan – cooperatives comparable properties – boro-block-lot', 'manhattan – cooperatives comparable properties – address', 'borough', 'postcode', 'latitude', 'longitude', 'community board', 'council district ', 'census tract', 'bin', 'bbl', 'nta', 'manhattan – cooperatives comparable properties – neighborhood', 'manhattan – cooperatives comparable properties – building classification', 'manhattan – cooperatives comparable properties – total units', 'manhattan – cooperatives comparable properties – year built', 'manhattan – cooperatives comparable properties – gross sqft', 'manhattan – cooperatives comparable properties – estimated gross income', 'manhattan – cooperatives comparable properties – gross income per sqft', 'manhattan – cooperatives comparable properties – estimated expense', 'manhattan – cooperatives comparable properties – expense per sqft', 'manhattan – cooperatives comparable properties – net operating income', 'manhattan – cooperatives comparable properties – full market value', 'manhattan – cooperatives comparable properties – market value per sqft', 'comparable rental – 1 – boro-block-lot', 'comparable rental – 1 – address', 'comparable rental – 1 – neighborhood', 'comparable rental – 1 – building classification', 'comparable rental – 1 – total units', 'comparable rental – 1 – year built', 'comparable rental – 1 – gross sqft', 'comparable rental – 1 – estimated gross income', 'comparable rental – 1 – gross income per sqft', 'comparable rental – 1 – estimated expense', 'comparable rental – 1 – expense per sqft', 'comparable rental – 1 – net operating income', 'comparable rental – 1 – full market value', 'comparable rental – 1 – market value per sqft', 'comparable rental – 1 – distance from coop in miles', 'comparable rental – 2 – boro-block-lot', 'comparable rental – 2 – address', 'comparable rental – 2 – neighborhood', 'comparable rental – 2 – building classification', 'comparable rental – 2 – total units', 'comparable rental – 2 – year built', 'comparable rental – 2 – gross sqft', 'comparable rental – 2 – estimated gross income', 'comparable rental – 2 – gross income per sqft', 'comparable rental – 2 – estimated expense', 'comparable rental – 2 – expense per sqft', 'comparable rental – 2 – net operating income', 'comparable rental – 2 – full market value', 'comparable rental – 2 – market value per sqft', 'comparable rental – 2 – distance from coop in miles', 'comparable rental – 3 – boro-block-lot', 'comparable rental – 3 – address', 'comparable rental – 3 – neighborhood', 'comparable rental – 3 – building classification', 'comparable rental – 3 – total units', 'comparable rental – 3 – year built', 'comparable rental – 3 – gross sqft', 'comparable rental – 3 – estimated gross income', 'comparable rental – 3 – gross income per sqft', 'comparable rental – 3 – estimated expense', 'comparable rental – 3 – expense per sqft', 'comparable rental – 3 – net operating income', 'comparable rental – 3 – full market value', 'comparable rental – 3 – market value per sqft', 'comparable rental – 3 – distance from coop in miles']",m56g-jpua,2261.0,dof: cooperative comparable rental income – manhattan– fy 2011/2012,1317667641.0
771,Housing & Development,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'queens condominium property boro-block-lot', 'queens condominium property condo section', 'queens condominium property address', 'borough', 'postcode', 'latitude', 'longitude', 'community board', 'council district', 'census tract', 'bin', 'bbl', 'nta', 'queens condominium property neighborhood', 'queens condominium property building classification', 'queens condominium property total units', 'queens condominium property year built', 'queens condominium property gross sqft', 'queens condominium property est. gross income', 'queens condominium property gross income per sqft', 'queens condominium property full market value', 'queens condominium property market value per sqft', ' comparable rental 1 boro-block-lot', 'comparable rental 1 address', 'comparable rental 1  neighborhood', 'comparable rental 1  building classification', 'comparable rental 1  total units', 'comparable rental 1  year built', 'comparable rental 1  gross sqft', 'comparable rental 1  est. gross income', 'comparable rental 1  gross income per sqft', 'comparable rental 1 full market value', 'comparable rental 1  market value per sqft', 'comparable rental 1  dist. from coop in miles', 'comparable rental 2  boro-block-lot', 'comparable rental 2  address', 'comparable rental 2  neighborhood', 'comparable rental 2  building classification', 'comparable rental 2  total units', 'comparable rental 2  year built', 'comparable rental 2  gross sqft', 'comparable rental 2  est. gross income', 'comparable rental 2  gross income per sqft', 'comparable rental 2  full market value', 'comparable rental 2  market value per sqft', 'comparable rental 2  dist. from coop in miles']",m59i-mqex,251.0,dof: condominium comparable rental income – queens – fy 2008/2009,1317328654.0
772,Environment,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'last name', 'first name', 'certification number', 'expiration date', 'telephone']",m64p-r9hk,257.0,certified asbestos investigator,1359607276.0
773,Transportation,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'vms', 'main roadway', 'direction', 'cross street', 'borough', 'type', 'owner', 'latitude', 'longitude', 'location 1']",m6ap-zcwi,134.0,overhead electronic signs map,1507732001.0
774,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'year', 'complaints within ccrb jurisdiction', 'referrals to office of the chief of department', 'referrals to internal affairs bureau', 'referrals to other agencies']",m6nh-ye6v,3.0,intake within and outside ccrb jurisdiction,1361827485.0
775,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'bronx', '2005', '2006', '2007', '2008', '2009', 'total']",m7m9-uyrn,17.0,ccrb: attribution of complaints to patrol borough bronx 2005 - 2009,1315948253.0
776,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'school name', 'grade', 'year', 'category', 'number tested', 'mean scale score', 'level1_n', 'level1_%', 'level2_n', 'level2_%', 'level3_n', 'level3_%', 'level4_n', 'level4_%', 'level3+4_n', 'level3+4_%']",m8nr-4ivu,47735.0,2013-2017 school ela results - gender,1506355044.0
777,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'type of abuse of authority allegation', 'substantiated number', 'sunstantiated rate', 'exonerated number', 'exonerated rate', 'unsubstantiated number', 'unsubstantiated rate', 'unfounded number', 'unfounded rate', 'officer unidentified number', 'officer unidentified rate', 'miscellaneous', 'miscellaneous rate']",mai7-g3fm,19.0,disposition of force allegations 2006,1317249915.0
